symptom_id	source	narrative	domain_candidate	tele_violations	frequency	cost	linked_ideas	fix_status
sym-B-001	thread-55	Tool Discovery Lag — when new MCP tools deploy to Hub, local OpenCode/claude-plugin doesn't discover them until manual plugin restart. Breaks "Living Draft" co-authoring workflow per architect ("Hello Engineer, we've noticed a recurring pattern of friction"). Distinct from bug-4 schema-hash defect; this is the tool-list-cache invalidation absence.	tool-surface	tele-2,tele-6	recurring	moderate	idea-29,idea-69	idea-triaged
sym-B-002	thread-107	Mission-Task Linkage gap — task-196 was part of DAG (195→196→197) but silently missing from mission's task list. Cross-mission task addition mid-flight doesn't propagate to mission.tasks[]. Distinct from bug-2 DAG dep-eval; this is mission-entity linkage drift.	cascade-execution	tele-2,tele-1	rare	moderate	(none)	no-idea-filed
sym-B-003	thread-76	"Typo Black Hole" — typo in assignedEngineerId leads to silent indefinite wait until manual cancel + recreate. No validation lifecycle for assigned-engineer field. Originally surfaced during Mission-18 routing work; structural validation gap remains across other agentId-typed fields.	tool-surface	tele-2,tele-7	rare	blocking	(none)	no-idea-filed
sym-B-004	thread-33	No automated workflow tests — all 10 ratified workflows validated manually per Strategic Architecture Review. "No acceptance tests across correctness, efficiency, efficacy, or friction" — workflow-registry §7 documents 28 "Tested By: NONE" invariants.	debugging-loop	tele-9,tele-2,tele-8	continuous	moderate	(none)	no-idea-filed
sym-B-005	thread-33	Counter increments + state mutations carry race-condition risk per Strategic Architecture Review observation. Specific case: ConnectionManager solved orphan sessions but didn't solve silent SSE death — partial fix pattern.	cascade-execution	tele-7,tele-1	recurring	moderate	idea-94	idea-filed
sym-B-006	thread-79	Volatile attributes (llmModel, version, hostname) put in handshake fingerprint cause silent Hub-state drift from reality at every restart/version-bump. Fix proposed: relocate to launchTags / advisoryMetadata blob explicitly documented as launch-time-only. Impact RESOLVED via Mission-18 fingerprint exclusion; pattern still informative.	identity-layer	tele-1,tele-2	rare-historical	minor	(none)	shipped
sym-B-007	thread-71	"Deferred FSM logic" deadlock class — task-116 stuck in in_review because Hub didn't know how to transition to completed (logic was in task-117); task-117 blocked on task-116. Ratified-but-unimplemented FSM transitions cause structural deadlocks. Bug pattern, partially RESOLVED via Mission-9 review-gated DAG cascades.	cascade-execution	tele-2,tele-7	rare-historical	blocking	(none)	shipped-but-leaks
sym-B-008	thread-59	Task Duplication Crisis — 12 duplicates in single session per thread title ("URGENT: Task Duplication Crisis"). Idempotency-key absence + Architect Amnesia (bug-3 class) compound. Idempotency now mandatory but Architect compliance is voluntary — recurrence possible.	cognitive-layer	tele-2,tele-7	rare-historical	moderate	idea-22,idea-28	shipped-but-leaks
sym-B-009	thread-107	Agent orphan lifecycle from label mutation — INV-AG1 (immutable Agent.labels) is correct + deliberate but second-order effect: every label mutation creates orphan engineerIds that accrue pending events with no session draining them. Partial cleanup via bug-16 reaper but structural friction remains.	identity-layer	tele-1,tele-7	recurring	moderate	idea-122	idea-filed
sym-B-010	thread-74	"Dormant Missions" friction — can't stage work in proposed Missions without tasks leaking to global queue. Workaround: don't create tasks until mission is active. Indicates Mission FSM lacks `staged` substate distinct from `active`.	entity-vocabulary	tele-2,tele-6	recurring	minor	idea-30	idea-filed
sym-B-011	thread-243	Tele-retirement primitive missing during ratified-tele-audit roll-out — 5 superseded teles persist as zombies because create_tele is immutable + no delete/supersede path. Active blocker for idea-149 ratification cleanup.	entity-vocabulary	tele-2,tele-3	once	moderate	(none — bug-24 captures)	idea-filed
sym-B-012	thread-244	Thread message delivery truncation — discovered during this very thread (244) as architect repeatedly reported "draft truncated" / "missing entirely" on multi-tele drafts. Already captured as bug-25; thread-244 is the live evidence trail. Sub-class: back-compat runway via short-term adapter size-guard mitigation pending idea-152 Smart NIC.	delivery	tele-4,tele-6	recurring	blocking	idea-152	shipped-but-leaks
