symptom_id	source	narrative	domain_candidate	tele_violations	frequency	cost	linked_ideas	fix_status
sym-C-001	trace:m-hypervisor-adapter-mitigations:bug-20-recurrence	Architect requires manual thread-nudge from engineer after every task review to advance to next task in mission sequence. Established as 'predictable nudge cadence' protocol. Each review-handler completion returns architect to idle without emitting next-task directive — 'no architect-side code path emits anything post-review'.	coordination	tele-2,tele-6,tele-7	recurring	moderate	idea-144	idea-triaged
sym-C-002	trace:m-hypervisor-adapter-mitigations:mission-37-38-dup	Mission entities created in duplicate during cascade-spawning: mission-37 + mission-38 with same title, same correlationId, both in proposed/active state, 2-min apart. Same pattern: mission-31/32/33/34 are 4-way duplicates of M-Cognitive-Hypervisor Phase 1. 'Mission cleanup pending' from architect.	cascade-execution	tele-2,tele-3	recurring	minor	(none)	no-idea-filed
sym-C-003	trace:m-hypervisor-adapter-mitigations:deploy-gap	Code commits land on main but adapter changes don't reach prod until manual Cloud Run redeploy. Task-310 telemetry was un-deployed for ~2 days; bug-11 measurement couldn't begin until redeploy. 'Standing deploy-gap' — recommend bundling redeploys.	deployment	tele-2,tele-7	recurring	moderate	idea-150	no-idea-filed
sym-C-004	trace:m-hypervisor-adapter-mitigations:adc-gotcha	`./deploy/build.sh architect` fails with `oauth2: invalid_grant` because terraform uses Application Default Credentials (separate from gcloud user auth). Workaround: prefix with `GOOGLE_APPLICATION_CREDENTIALS=labops-389703.json`. Resolved post-mission-38 via auto-export in deploy/build.sh.	deployment	tele-2,tele-7	once	moderate	(none)	shipped
sym-C-005	trace:m-hypervisor-adapter-mitigations:ack-without-state	Architect ACK on thread-236 ('I'll keep this on the triage list') left no audit artifact — no bug_status_changed, no idea_triaged, no state mutation. ACK was prose-only; bug-20 stays open at Hub. Pattern: post-conversation follow-through doesn't advance state unless a cascade handler or explicit tool call drives it.	coordination	tele-2,tele-7,tele-1	recurring	minor	idea-144	idea-triaged
sym-C-006	trace:m-hypervisor-adapter-mitigations:late-design-ratification	Design discussions happen at task-issuance time rather than upfront mission design. Architect ratifies multiple design directions mid-thread (e.g., thread-239 ratified 4 design directions for task-314 simultaneously with task issuance). Works but indicates incomplete upfront mission decomposition.	role-scoping	tele-4,tele-2	recurring	minor	(none)	no-idea-filed
sym-C-007	trace:m-hypervisor-adapter-mitigations:tarball-regen	Repeated package-lock.json + tarball regeneration commits (`1488eed`, `cfab717`, `bd8378b` separate commits for tarball repack). Adds noise to commit history; manual + error-prone.	tool-surface	tele-2,tele-6	frequent	trivial	(none)	no-idea-filed
sym-C-008	trace:m-cognitive-hypervisor:idea-promotion-late	Director-sharpening pattern: ideas filed earlier surface as blockers mid-work after Director clarification (e.g., idea-120 promoted to blocker on Phase F when Director sharpened unification question). Indicates idea-triage doesn't happen until consumption.	debugging-loop	tele-4,tele-10	recurring	moderate	idea-120	idea-triaged
sym-C-009	trace:m-cognitive-hypervisor:architect-triage-deferred-indefinitely	Architect-triage idea queue (ideas 115, 116, 118) stays 'deferred' across multiple sessions ('triage them when Phase 3 + 4 complete'). No SLA on triage; ideas accumulate without action.	role-scoping	tele-2,tele-10	continuous	minor	(none)	no-idea-filed
sym-C-010	trace:m-hypervisor-adapter-mitigations:scope-investigation-discovers-prior-work	On task-311 claim, scope exploration revealed deliverables already 'materially pre-satisfied by Phase 1 ckpt-4'. Engineer had to rewrite mission brief §3 Task 2 to reflect pre-existing scaffold so future engineers don't duplicate work. Indicates scope discovery happens late, after architect-issued task is claimed.	role-scoping	tele-1,tele-4	rare	moderate	(none)	no-idea-filed
sym-C-011	trace:cartography-1.1-meta-observation	Engineer cannot transition idea status from triaged → dismissed (or incorporated); only architect can per Hub update_idea schema. Forces round-trip: engineer applies marker tags (e.g. audit:valid=superseded-by-bug:bug-N) but architect must complete the lifecycle. Surfaced during Pass 1.1 revision when 9 bug-migration legacy ideas needed dismissal after marker-tag application. Not blocking but adds engineer-architect handoff cost.	role-scoping	tele-2,tele-6	once-per-bug-migration	minor	(none)	no-idea-filed
