idea_id	status	concept_name_candidate	tele_primary	notes
idea-5	open	Architect-Director Interfaces (AG-UI): Replace the synchronous CLI chat interfac	tele-5
idea-6	open	Task Handover / Re-assign: Implement a `reassign_task` tool or automatic timeout	tele-7
idea-11	open	Wisdom and Context Management/Engineering	tele-4
idea-12	open	The "Dry Run" (Sandboxed Execution)	tele-6
idea-13	open	Semantic Code Search (The "Architect's Lens")	tele-5
idea-14	open	The "Post-Mortem" Auto-Triage	tele-10
idea-20	open	Extend the Cognitive Architecture auto-linkage system to support Threads. Curren	tele-6
idea-22	triaged	DAG Retroactive Unblocking (Race Condition Fix)	-
idea-23	open	Explore and implement deep code repository integration (e.g., GitHub Actions, pr	tele-9
idea-24	open	Formalize 'Hub' as a First-Class System Actor.	tele-2
idea-25	open	Introduce the concept of a 'Chore' (or 'Routine') as a first-class entity in the	tele-6
idea-27	open	Adopt the 'Declarative Controller Platform' (Kubernetes Analogy) for the Hub's C	tele-2
idea-28	triaged	BUG: Architect Amnesia (Context Desynchronization)	-
idea-30	open	Dormant Missions & Task Mutability	tele-2
idea-33	open	Anomalous State Detection (State Inconsistencies)	tele-7
idea-39	open	Implement a strict 'Read-After-Write' consistency guarantee for the Architect's 	tele-1
idea-41	triaged	BUG: `get_task` Tool Cannot Retrieve Historical Tasks	-
idea-42	open	Live-Environment Mock Agents (Chaos & Load Testing)	tele-6
idea-43	open	Non-LLM Capability Endpoints (The "Machine" Role)	tele-3
idea-45	open	Hub REST API & Client CLI (Observability)	tele-5
idea-48	open	Hub SessionServer and Network Adapter share MCP session primitives — deduplicate	tele-3
idea-50	open	Comprehensive module naming, portability, and code dedup brainstorm. Use docs/sd	tele-3
idea-55	open	Deployment infrastructure hardening with Terraform. (1) IaC enforcement — deploy	tele-9
idea-56	open	Hub-injected thread guidance: When a thread is first created, the Hub should par	tele-5
idea-60	open	Agentic-Network Native Structured Telemetry	tele-1
idea-61	open	Implement a new TUI for the architect-chat using ACP + Toad.	tele-5
idea-62	open	Expose the Architect via an ACP bridge/server to enable external UI clients (lik	tele-5
idea-64	open	Implement a 'Note' as a first-class entity. A Note is a raw, potentially ambiguo	tele-4
idea-65	open	Define a first-class entity for a 'unit of research' (suggested name: 'Beacon').	tele-4
idea-66	open	Rename the 'directive_issued' notification to 'task_issued' across the platform 	tele-2
idea-67	open	First-class GitHub identities for agents in the OIS network.	tele-6
idea-68	open	Implement an 'update_task' tool for the Architect. This tool should allow the Ar	tele-6
idea-69	open	MCP proxy list/get-surface standardisation — consistent by-ID, by-label, and by-filter ret	tele-2
idea-70	open	Add an ability to filter entities in any list_ tool by ID, label, role, etc. to 	tele-5
idea-71	open	Create a functioning Gemini-CLI plugin (equivalent to the OpenCode/Claude plugin	tele-3
idea-72	open	Advanced Cognitive Engineering — on-demand historical context retrieval for Architect	tele-5
idea-73	open	Generalised Task Routing — Origin + Target as First-Class Fields	tele-6
