symptom_id	source	narrative	domain_candidate	tele_violations	frequency	cost	linked_ideas	fix_status
sym-A-001	bug-1	**Superseded by Mission-24 Phase 2 + M-Cascade-Perfection architecture shift** Original bug (2026-04-13, Mission-2 thread-60): the Architect's `sandwichThreadConverged` handler was supposed to fetch a converged thread, reason about follow-up, and issue a directive via `submitDirective`. The event wa	tool-surface		rare-historical	minor	idea-19	shipped
sym-A-002	bug-2	**DAG Retroactive Unblocking (Race Condition Fix)** **Context:** The current Lightweight DAG (implemented in task-70) contains a race condition. If Task B is created with `dependsOn: ["Task A"]`, but Task A is *already* completed, Task B is placed in the `blocked` state and is never unblocked, becau	cascade-execution		rare	minor	idea-22	idea-triaged
sym-A-003	bug-3	BUG: Architect Amnesia (Context Desynchronization) **Context:**	cognitive-layer	tele-11,tele-7	rare	minor	idea-28	idea-triaged
sym-A-004	bug-4	BUG: OpenCode Plugin `syncTools()` hashes tool names instead of full schemas. This causes the Plugin to ignore updated parameters (like `proposedExecutionPlan`) if the tool name hasn't changed. Fix: Update the hash function to include schema fingerprints.	tool-surface	tele-2,tele-3	rare	minor	idea-29	idea-triaged
sym-A-005	bug-5	**Superseded by Mission-18 (M18 Agent Entity — pre-session)** Original bug: Targeted routing failed with shared auth tokens because EngineerRegistry mapped sessionId→engineerId via token, causing multi-client identity collision (task-146 could be stolen by any engineer sharing the token).	identity-layer	tele-1	rare-historical	minor	idea-40	shipped
sym-A-006	bug-6	**BUG: `get_task` Tool Cannot Retrieve Historical Tasks** **Context:**	cognitive-layer	tele-11,tele-7	rare	minor	idea-41	idea-triaged
sym-A-007	bug-7	**Superseded by Mission-24 Phase 2 cascade (ADR-014 + ADR-015)** Original bug (2026-04-16, thread-92): when a thread converged with both a convergenceAction (Path A: Hub-side cascade) AND intent=implementation_ready (Path B: Architect sandwich handler), both paths fired independently → duplicate tas	coordination		rare-historical	minor	idea-57	shipped
sym-A-008	bug-8	**BUG (tracked as Idea until first-class Bug entity exists)** — Cascade handlers missed SSE dispatch; fixed + deployed; track pattern for Bug-entity migration Phase 2 cascade-action handlers (`hub/src/policy/cascade-actions/*.ts`) correctly persisted spawned entities (tasks, proposals, ideas, missio	cascade-execution	tele-7	rare-historical	minor	idea-88	shipped
sym-A-009	bug-9	**BUG (tracked as Idea until first-class Bug entity exists, will be migrated in M-Cascade-Perfection Phase 2)** — Architect `getPendingActions` filter excludes `in_review` status; reports silently un-reviewed `hub/src/policy/system-policy.ts:25-31` — the `unreviewedTasks` filter in `getPendingAction	cascade-execution	tele-7	rare-historical	moderate	idea-89	shipped
sym-A-010	bug-10	Architect silently fails to respond to thread_message SSE events. Current thread-137 (Threads 2.0 design review) has been open for >10 minutes with architect as currentTurn holder, zero participant upsert, zero architect audit entries, zero reply. Simultaneously, a Director-chat interaction returned	delivery		rare-historical	blocking		shipped
